"kernel","max_iter_predict","warm_start","multi_class"
"RBF(length_scale=1)",10,False,"one_vs_rest",0.7459183673469387
"RBF(length_scale=1)",10,False,"one_vs_one",0.7500850340136055
"RBF(length_scale=1)",10,True,"one_vs_rest",0.7295068027210885
"RBF(length_scale=1)",10,True,"one_vs_one",0.7420918367346939
"RBF(length_scale=1)",50,False,"one_vs_rest",0.758078231292517
"RBF(length_scale=1)",50,False,"one_vs_one",0.7372448979591837
"RBF(length_scale=1)",50,True,"one_vs_rest",0.7583333333333333
"RBF(length_scale=1)",50,True,"one_vs_one",0.7460034013605442
"RBF(length_scale=1)",100,False,"one_vs_rest",0.7371598639455782
"RBF(length_scale=1)",100,False,"one_vs_one",0.7378401360544219
"RBF(length_scale=1)",100,True,"one_vs_rest",0.7702380952380952
"RBF(length_scale=1)",100,True,"one_vs_one",0.7501700680272109
"RBF(length_scale=1)",500,False,"one_vs_rest",0.7579931972789116
"RBF(length_scale=1)",500,False,"one_vs_one",0.7582482993197279
"RBF(length_scale=1)",500,True,"one_vs_rest",0.7456632653061225
"RBF(length_scale=1)",500,True,"one_vs_one",0.7582482993197279
"RBF(length_scale=1)",1000,False,"one_vs_rest",0.7577380952380952
"RBF(length_scale=1)",1000,False,"one_vs_one",0.7459183673469388
"RBF(length_scale=1)",1000,True,"one_vs_rest",0.7622448979591837
"RBF(length_scale=1)",1000,True,"one_vs_one",0.749829931972789
"Matern(length_scale=1, nu=1.5)",10,False,"one_vs_rest",0.7459183673469388
"Matern(length_scale=1, nu=1.5)",10,False,"one_vs_one",0.7541666666666667
"Matern(length_scale=1, nu=1.5)",10,True,"one_vs_rest",0.741921768707483
"Matern(length_scale=1, nu=1.5)",10,True,"one_vs_one",0.7496598639455783
"Matern(length_scale=1, nu=1.5)",50,False,"one_vs_rest",0.7416666666666667
"Matern(length_scale=1, nu=1.5)",50,False,"one_vs_one",0.7499149659863945
"Matern(length_scale=1, nu=1.5)",50,True,"one_vs_rest",0.7581632653061224
"Matern(length_scale=1, nu=1.5)",50,True,"one_vs_one",0.7706632653061224
"Matern(length_scale=1, nu=1.5)",100,False,"one_vs_rest",0.7336734693877551
"Matern(length_scale=1, nu=1.5)",100,False,"one_vs_one",0.7625850340136056
"Matern(length_scale=1, nu=1.5)",100,True,"one_vs_rest",0.7334183673469388
"Matern(length_scale=1, nu=1.5)",100,True,"one_vs_one",0.7583333333333333
"Matern(length_scale=1, nu=1.5)",500,False,"one_vs_rest",0.7418367346938776
"Matern(length_scale=1, nu=1.5)",500,False,"one_vs_one",0.7457482993197279
"Matern(length_scale=1, nu=1.5)",500,True,"one_vs_rest",0.7663265306122449
"Matern(length_scale=1, nu=1.5)",500,True,"one_vs_one",0.7749149659863945
"Matern(length_scale=1, nu=1.5)",1000,False,"one_vs_rest",0.7625850340136054
"Matern(length_scale=1, nu=1.5)",1000,False,"one_vs_one",0.75
"Matern(length_scale=1, nu=1.5)",1000,True,"one_vs_rest",0.7579931972789116
"Matern(length_scale=1, nu=1.5)",1000,True,"one_vs_one",0.7372448979591837
"1**2",10,False,"one_vs_rest",0.7335034013605443
"1**2",10,False,"one_vs_one",0.7336734693877551
"1**2",10,True,"one_vs_rest",0.733843537414966
"1**2",10,True,"one_vs_one",0.7335884353741495
"1**2",50,False,"one_vs_rest",0.7335884353741496
"1**2",50,False,"one_vs_one",0.7336734693877551
"1**2",50,True,"one_vs_rest",0.7333333333333333
"1**2",50,True,"one_vs_one",0.7338435374149659
"1**2",100,False,"one_vs_rest",0.733248299319728
"1**2",100,False,"one_vs_one",0.7334183673469388
"1**2",100,True,"one_vs_rest",0.7336734693877551
"1**2",100,True,"one_vs_one",0.7332482993197279
"1**2",500,False,"one_vs_rest",0.7337585034013606
"1**2",500,False,"one_vs_one",0.7338435374149659
"1**2",500,True,"one_vs_rest",0.7337585034013605
"1**2",500,True,"one_vs_one",0.7338435374149659
"1**2",1000,False,"one_vs_rest",0.7335034013605441
"1**2",1000,False,"one_vs_one",0.7337585034013606
"1**2",1000,True,"one_vs_rest",0.7340136054421769
"1**2",1000,True,"one_vs_one",0.7336734693877551
"WhiteKernel(noise_level=1)",10,False,"one_vs_rest",0.7335884353741495
"WhiteKernel(noise_level=1)",10,False,"one_vs_one",0.7338435374149659
"WhiteKernel(noise_level=1)",10,True,"one_vs_rest",0.7335034013605443
"WhiteKernel(noise_level=1)",10,True,"one_vs_one",0.7331632653061224
"WhiteKernel(noise_level=1)",50,False,"one_vs_rest",0.7336734693877551
"WhiteKernel(noise_level=1)",50,False,"one_vs_one",0.7334183673469388
"WhiteKernel(noise_level=1)",50,True,"one_vs_rest",0.7335884353741496
"WhiteKernel(noise_level=1)",50,True,"one_vs_one",0.7332482993197279
"WhiteKernel(noise_level=1)",100,False,"one_vs_rest",0.7335034013605441
"WhiteKernel(noise_level=1)",100,False,"one_vs_one",0.733248299319728
"WhiteKernel(noise_level=1)",100,True,"one_vs_rest",0.7335884353741496
"WhiteKernel(noise_level=1)",100,True,"one_vs_one",0.7335884353741495
"WhiteKernel(noise_level=1)",500,False,"one_vs_rest",0.7335034013605441
"WhiteKernel(noise_level=1)",500,False,"one_vs_one",0.7333333333333333
"WhiteKernel(noise_level=1)",500,True,"one_vs_rest",0.733673469387755
"WhiteKernel(noise_level=1)",500,True,"one_vs_one",0.7335884353741495
"WhiteKernel(noise_level=1)",1000,False,"one_vs_rest",0.734013605442177
"WhiteKernel(noise_level=1)",1000,False,"one_vs_one",0.7334183673469388
"WhiteKernel(noise_level=1)",1000,True,"one_vs_rest",0.7339285714285715
"WhiteKernel(noise_level=1)",1000,True,"one_vs_one",0.7335034013605443
"RationalQuadratic(alpha=1, length_scale=1)",10,False,"one_vs_rest",0.7420918367346939
"RationalQuadratic(alpha=1, length_scale=1)",10,False,"one_vs_one",0.7456632653061225
"RationalQuadratic(alpha=1, length_scale=1)",10,True,"one_vs_rest",0.7337585034013606
"RationalQuadratic(alpha=1, length_scale=1)",10,True,"one_vs_one",0.7372448979591837
"RationalQuadratic(alpha=1, length_scale=1)",50,False,"one_vs_rest",0.7414965986394557
"RationalQuadratic(alpha=1, length_scale=1)",50,False,"one_vs_one",0.7418367346938775
"RationalQuadratic(alpha=1, length_scale=1)",50,True,"one_vs_rest",0.7540816326530612
"RationalQuadratic(alpha=1, length_scale=1)",50,True,"one_vs_one",0.7336734693877551
"RationalQuadratic(alpha=1, length_scale=1)",100,False,"one_vs_rest",0.7289965986394558
"RationalQuadratic(alpha=1, length_scale=1)",100,False,"one_vs_one",0.7336734693877551
"RationalQuadratic(alpha=1, length_scale=1)",100,True,"one_vs_rest",0.7297619047619047
"RationalQuadratic(alpha=1, length_scale=1)",100,True,"one_vs_one",0.7461734693877551
"RationalQuadratic(alpha=1, length_scale=1)",500,False,"one_vs_rest",0.7336734693877551
"RationalQuadratic(alpha=1, length_scale=1)",500,False,"one_vs_one",0.7337585034013606
"RationalQuadratic(alpha=1, length_scale=1)",500,True,"one_vs_rest",0.733843537414966
"RationalQuadratic(alpha=1, length_scale=1)",500,True,"one_vs_one",0.7543367346938776
"RationalQuadratic(alpha=1, length_scale=1)",1000,False,"one_vs_rest",0.7460884353741497
"RationalQuadratic(alpha=1, length_scale=1)",1000,False,"one_vs_one",0.7337585034013606
"RationalQuadratic(alpha=1, length_scale=1)",1000,True,"one_vs_rest",0.7335034013605443
"RationalQuadratic(alpha=1, length_scale=1)",1000,True,"one_vs_one",0.745578231292517
